feature,coefficient,abs_coefficient
media_portugues,7.031686662120359,7.031686662120359
sigla_uf_RS,2.939869391773875,2.939869391773875
sigla_uf_CE,-2.779496576417738,2.779496576417738
sigla_uf_PR,2.597344467333299,2.597344467333299
sigla_uf_SC,2.409101788175061,2.409101788175061
sigla_uf_MS,-2.4073151214698014,2.4073151214698014
sigla_uf_GO,1.7346691535967955,1.7346691535967955
sigla_uf_RO,-1.6151204436646773,1.6151204436646773
sigla_uf_SP,-1.6123910767738938,1.6123910767738938
sigla_uf_ES,1.4203522885243993,1.4203522885243993
sigla_uf_MT,-1.332581050178473,1.332581050178473
sigla_uf_PI,-1.28382023205822,1.28382023205822
sigla_uf_AM,1.2668411431596562,1.2668411431596562
sigla_uf_BA,1.1694331864855718,1.1694331864855718
sigla_uf_TO,-1.1039698575756467,1.1039698575756467
sigla_uf_PB,-1.030327806759737,1.030327806759737
sigla_uf_MA,-0.8978505821717074,0.8978505821717074
sigla_uf_RN,0.8523515330482632,0.8523515330482632
sigla_uf_AL,0.7800338619531014,0.7800338619531014
sigla_uf_MG,-0.7217458050305201,0.7217458050305201
rede_5,-0.5603099068861996,0.5603099068861996
sigla_uf_PE,-0.5587586399627108,0.5587586399627108
sigla_uf_AP,-0.48924052652764227,0.48924052652764227
rede_3,-0.4534375709490201,0.4534375709490201
sigla_uf_PA,-0.3622394812054298,0.3622394812054298
rede_2,-0.31763652868148284,0.31763652868148284
sigla_uf_SE,-0.24764788753648548,0.24764788753648548
sigla_uf_RJ,-0.05887573323405673,0.05887573323405673
ano,0.0,0.0
